編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
700003,23,a paqulid,,3231007,,U,應該,33助動詞,,,,
700015,23,abura,JPN001,3230585,,U,油,21食物(非植物),,,,
700024,23,ada,,3230289,,S,蔥,08植物,,,,
700050,23,akumaya,,3230079,,B,為什麼,03疑問詞,,,,
700055,23,alay,PAN30076,3230322,,U,細線,09物品(不含食品),,,,
700074,23,aljis,PAN29927,3230142,,U,牙齒,06身體部位,,,,
700076,23,alju,PAN29928,3230583,,U,蜂蜜,21食物(非植物),,,,
700076,23,alju,PAN29928,3230594,,S,糖,21食物(非植物),,,,
700078,23,alu,PAN28735,3230008,,B,八,01數字計量,,,,
700080,23,alu a puluq,,3230032,,B,八十,01數字計量,,,,
700091,23,amin,,3231067,,S,只有,36助詞或其他,,,,
700093,23,amin sakamaya,,3231086,,U,僅僅,36助詞或其他,,,,
700104,23,anema,,3230067,,B,什麼,03疑問詞,,,,
700107,23,angalj,,3230135,,B,嘴巴,06身體部位,,,,
700119,23,aqusiaya,,3231049,,I,不客氣,34其他,,,,
700123,23,aravac,,3231080,,U,很,36助詞或其他,,,,
700124,23,aray,,3230342,,U,網子,09物品(不含食品),,,,
700129,23,asaw,PAN30608,3230257,,I,葉子,08植物,,,,
700151,23,avanusika,,3231073,,I,所以,36助詞或其他,,,,
700161,23,ayakay,,3230612,,I,聽說,24抽象名詞,,,,
700163,23,ayatua,,3231062,,I,因為,36助詞或其他,,,,
700165,23,aycu,,3230062,,B,這個,02代名詞、指示詞,,,,
700170,23,azuwa,,3230061,,B,那個,02代名詞、指示詞,,,,
700170,23,azuwa,,3230064,,B,那裡,02代名詞、指示詞,,,,
700171,23,ba,,3230230,,S,馬,07動物(含昆蟲),,,,
700175,23,bakic,,3230332,,S,水桶,09物品(不含食品),,,,
700189,23,basu,JPN031,3230569,,U,公車,20交通,,,,
700193,23,behahang,,3230239,,U,鍬形蟲,07動物(含昆蟲),,,,
700207,23,benuhubuhu,,3230433,,B,刮颱風,11自然景觀,,,,
700211,23,benuru,,3230686,,U,玩(球),26肢體動作,,,,
700220,23,bibi,,3230224,,U,鴨,07動物(含昆蟲),,,,
700242,23,buhu,,3230422,,U,颱風,11自然景觀,,,,
700249,23,bulay,,3230937,,B,漂亮,32特徵,,,,
700250,23,buljabuljak,,3230607,,U,灰色,22顏色,,,,
700263,23,buru,JPN035,3230311,,B,球,09物品(不含食品),,,,
700282,23,cacarag,,3230218,,S,蚊子,07動物(含昆蟲),,,,
700293,23,cacukecukan,,3230204,,I,烏龜,07動物(含昆蟲),,,,
700296,23,cadja,,3230963,,S,遠,32特徵,,,,
700314,23,calinga,PAN25874,3230131,,B,耳朵,06身體部位,,,,
700315,23,calis,PAN25873,3230323,,I,繩索,09物品(不含食品),,,,
700333,23,caljudjuqan,,3230174,,I,手指,06身體部位,,,,
700354,23,caqev,,3230336,,I,蓋子,09物品(不含食品),,,,
700367,23,casaw,PAN25882,3230491,,I,外面,14空間,,,,
700369,23,caucau,,3230114,,B,人,05人物、身分,,,,
700375,23,cavilj,PAN29898,3230481,,B,年,13時間,,,,
700377,23,cavuin,,3230743,,I,打包,26肢體動作,,,,
700385,23,cegceg,,3230374,,S,鐵釘,09物品(不含食品),,,,
700402,23,celalaq,,3230411,,I,雷,11自然景觀,,,,
700411,23,cemaca,,3231024,,S,倒入,34其他,,,,
700419,23,cemakaw,,3230859,,U,偷竊,30生活作息,,,,
700420,23,cemala,,3230875,,U,炒(如炒花生),30生活作息,,,,
700420,23,cemala,,3230899,,I,炒(飯菜),30生活作息,,,,
700421,23,cemalis,,3230770,,I,捻線,26肢體動作,,,,
700422,23,cemalivat,,3230498,,I,經過,14空間,,,,
700426,23,cemapa,,3230863,,I,烤(如烤地瓜),30生活作息,,,,
700431,23,cemaqecaq,,3230889,,S,鎖上,30生活作息,,,,
700437,23,cemauv,,3230873,,I,蓋被子,30生活作息,,,,
700442,23,cemdas,,3230434,,I,日出,11自然景觀,,,,
700444,23,cemecemel,,3230381,,B,山林,10山川地理,,,,
700448,23,cemeged,,3230812,,U,邀請,28認知感官,,,,
700453,23,cemel,PAN29899,3230262,,S,雜草,08植物,,,,
700453,23,cemel,PAN29899,3230271,,U,草,08植物,,,,
700453,23,cemel,,3230316,,B,藥物,09物品(不含食品),,,,
700459,23,cemeljis,,3230566,,U,刮苧麻,18織布服飾,,,,
700467,23,cemevelj,,3230887,,U,掩埋,30生活作息,,,,
700475,23,cemikel,,3230649,,U,折返,25行動,,,,
700477,23,cemimecim,,3230875,,U,炒(如炒花生),30生活作息,,,,
700481,23,cemipilj,,3231014,,U,摺疊,34其他,,,,
700488,23,cempu,,3230537,,S,編織(植物),18織布服飾,,,,
700492,23,cemugecug,,3231044,,U,撞擊,34其他,,,,
700498,23,cemulju,,3230851,,I,殺牲畜,30生活作息,,,,
700509,23,cengceng,,3231059,,B,正在/正好,36助詞或其他,,,,
700520,23,cepeng,,3230505,,U,穀物乾燥簍,15農耕,,,,
700520,23,cepeng,,3230525,,I,籃子,16狩獵,,,,
700529,23,ceqer,,3230198,,B,青蛙,07動物(含昆蟲),,,,
700540,23,cevulj,PAN29954,3230414,,S,煙,11自然景觀,,,,
700585,23,cinepis,,3230738,,S,摘取,26肢體動作,,,,
700587,23,cingas,,3230375,,S,卡在牙縫之物,09物品(不含食品),,,,
700597,23,cinugecug,,3230706,,S,撞到,26肢體動作,,,,
700605,23,ciqaw,,3230193,,B,魚,07動物(含昆蟲),,,,
700617,23,ciyukuk,JPN044,3230128,,S,外省人,05人物、身分,,,,
700624,23,cuay,,3230966,,U,久,32特徵,,,,
700635,23,cukuy,JPN256,3230312,,B,桌子,09物品(不含食品),,,,
700648,23,cumay,PAN29900,3230209,,I,熊,07動物(含昆蟲),,,,
700650,23,cungal,,3230161,,I,膝蓋,06身體部位,,,,
700656,23,cuparan,,3230598,,S,在來米,21食物(非植物),,,,
700666,23,cuvuq,,3230268,,I,竹筍,08植物,,,,
700676,23,dalek,,3230424,,S,水滴,11自然景觀,,,,
700677,23,dalilj,,3230358,,U,瓶子,09物品(不含食品),,,,
700689,23,daykung,JPN046,3230589,,U,白蘿蔔,21食物(非植物),,,,
700705,23,dinding,,3230237,,U,蝸牛,07動物(含昆蟲),,,,
700706,23,dingki,JPN051,3230335,,U,電燈,09物品(不含食品),,,,
700709,23,dingwa,,3230313,,B,電話,09物品(不含食品),,,,
700728,23,djalamiyang,,3230514,,U,稻草,15農耕,,,,
700729,23,djalan,PAN30439,3230380,,I,道路,10山川地理,,,,
700732,23,djaljaw,,3230951,,S,很快,32特徵,,,,
700737,23,djaljengen,,3230718,,S,綁,26肢體動作,,,,
